TransactionAmount,AccountBalance,LoginAttempts
17.45,1959.52,1
127.8,8630.99,1
421.25,7174.69,1
862.34,9903.48,1
11.04,6983.04,1
245.93,7986.63,1
568.07,10556.81,1
568.76,7484.32,1
651.55,2325.78,1
66.91,871.1,1
332.06,11826.52,4
320.93,9451.66,1
52.44,3157.75,1
628.36,11869.71,1
441.26,13704.92,5
211.36,7943.47,1
259.49,7320.61,1
552.02,522.08,1
10.3,7801.32,1
1152.58,7567.17,1
659.95,3927.69,1
632.69,4363.74,1
25.77,4331.54,1
77.54,4536.38,1
178.87,5241.23,1
260.63,7534.73,1
143.21,6374.82,1
76.39,5976.0,1
118.1,7976.6,1
601.4,8458.29,1
6.3,7697.68,5
366.93,6697.79,1
703.89,3583.67,1
303.43,1833.24,1
279.3,1193.61,1
120.9,9009.42,1
172.5,6851.16,1
55.86,5346.46,1
375.17,5495.3,2
122.45,7255.49,1
515.94,1389.89,1
757.15,4702.86,1
44.52,314.28,1
348.44,1022.94,1
288.04,1748.02,1
98.87,533.2,1
267.9,596.16,1
320.11,4076.48,1
770.65,7198.8,1
94.3,11088.95,1
135.27,9410.51,1
1182.86,7696.16,1
308.23,4150.63,1
94.82,1267.72,1
704.69,3267.84,1
113.64,6675.03,1
119.89,6697.77,1
119.3,319.04,5
139.88,2969.71,1
10.65,13240.72,1
121.91,14510.8,1
20.28,2047.83,1
175.07,1040.25,1
716.62,6987.4,1
46.6,1562.9,1
112.07,930.3,1
514.33,1592.94,1
162.59,7104.83,1
485.54,6371.51,1
248.76,6178.77,1
218.37,9942.24,1
411.52,11108.39,1
60.11,7235.87,1
537.71,1806.08,1
253.55,2797.26,5
39.69,3524.68,1
60.65,1047.28,1
56.84,7977.78,1
345.81,6116.8,1
357.72,7659.5,1
186.6,1508.72,1
493.42,2232.84,1
85.01,1299.4,1
218.57,13869.86,1
178.26,1137.13,1
162.1,8576.65,1
598.66,2587.11,1
137.84,1000.35,1
21.13,948.7,1
59.32,5750.89,1
209.99,1938.01,1
232.79,2661.3,1
190.17,12893.85,1
180.24,8431.23,1
91.77,9240.73,1
170.19,745.87,5
59.44,5472.03,1
74.11,1257.9,1
25.38,8616.05,1
259.91,7176.86,1
430.98,569.25,1
231.92,5715.08,1
29.72,1059.62,1
183.32,137.42,1
288.43,4577.09,1
27.44,5950.48,1
17.79,2281.9,5
61.37,4294.44,1
196.08,4233.82,1
83.43,1870.16,1
54.85,2727.45,1
63.54,4401.78,1
364.81,1145.23,1
154.21,8045.77,1
76.51,9475.4,4
62.86,1040.43,1
296.0,7418.82,1
335.5,6445.4,1
474.77,8494.53,1
1413.24,7272.01,1
275.92,1777.38,1
120.29,1362.39,1
219.44,4207.27,1
11.19,9877.17,1
396.45,9690.15,3
29.22,7795.79,1
332.33,192.63,1
206.25,3651.07,1
14.28,1597.51,1
112.05,1122.88,1
163.68,10090.05,1
537.86,293.06,1
1225.5,8611.17,1
78.92,5624.86,1
168.99,1523.57,1
280.92,5298.85,1
151.14,2156.54,1
20.05,7145.67,1
378.85,2300.53,1
321.79,5959.2,1
182.42,3051.29,1
1105.88,2636.32,1
408.62,2498.48,1
235.83,4120.75,1
301.51,1052.31,1
215.13,3956.69,1
149.4,1035.22,1
477.54,1598.63,1
1076.98,11833.73,1
472.48,7128.82,1
226.37,9840.04,1
837.29,6012.67,1
8.45,1115.3,1
768.94,6860.18,1
99.11,5414.87,1
33.03,935.88,1
170.26,1969.48,1
561.58,11748.86,1
345.22,4046.58,1
484.3,7910.3,3
485.51,3074.45,1
275.65,4957.57,1
41.49,928.33,1
242.03,4382.73,1
34.67,888.6,1
126.83,6100.98,1
67.15,9028.49,1
94.59,6171.89,1
211.91,927.47,1
47.23,6659.81,1
577.12,5265.88,1
164.52,11036.74,1
637.97,7949.03,1
161.31,1268.67,1
1074.95,530.86,1
73.28,1329.41,1
273.92,1029.15,1
997.37,1146.09,1
547.87,6155.76,1
42.09,5526.28,1
58.85,1789.8,1
633.87,330.16,1
705.34,5003.22,1
154.99,1419.31,1
435.27,4673.28,1
806.97,102.2,1
98.03,6323.45,1
353.59,1822.34,5
757.41,9532.42,1
189.77,6570.36,1
471.88,14833.34,1
178.88,4708.29,4
86.07,842.56,1
341.15,511.37,1
688.36,5191.13,1
355.0,185.47,1
302.76,8583.39,3
1154.79,6180.3,1
16.53,707.95,1
386.38,5528.36,1
297.86,1680.14,1
428.61,11937.04,1
215.94,1841.69,1
107.4,344.07,1
227.22,832.82,1
28.31,8334.47,1
263.92,4161.71,1
287.51,187.65,1
150.03,7491.42,1
73.95,363.92,1
486.61,2006.69,1
88.06,1779.85,1
427.69,2443.54,1
213.42,3736.38,1
165.8,2064.76,1
220.52,1793.09,1
692.55,2451.56,1
1143.67,7677.76,1
36.12,1593.03,1
1271.9,2120.8,1
2.03,3012.31,1
155.53,4008.05,1
730.1,6384.05,1
139.72,5058.83,1
207.65,5143.8,1
362.68,2040.77,1
262.22,5711.71,1
139.45,1305.76,1
223.85,2929.91,4
257.6,7950.74,1
130.4,4381.24,1
71.29,7225.63,2
364.13,8198.0,1
26.1,1435.72,1
308.42,5427.81,1
390.77,5500.56,1
136.48,4618.53,4
188.13,5029.87,1
265.37,5229.95,1
1173.74,10456.24,1
281.91,225.53,1
180.36,9905.23,1
107.47,7517.5,1
254.21,2487.2,1
335.48,3023.16,1
649.28,4875.86,1
81.35,7192.45,1
46.96,2028.92,1
57.49,765.15,1
335.63,1019.39,1
414.77,5599.81,1
72.82,6911.62,1
456.05,11729.51,1
64.92,5481.76,1
57.07,9323.71,1
340.05,7234.15,1
309.42,8564.46,1
332.0,5943.13,1
659.15,1241.59,1
523.02,4586.11,1
456.93,7284.76,1
28.53,8670.53,1
299.42,4735.41,1
205.65,3582.16,1
263.99,4175.02,2
194.99,1370.03,1
159.0,369.79,1
29.92,7855.01,1
7.76,7393.11,1
7.38,2923.83,1
230.51,9522.37,1
169.5,918.88,1
203.99,4840.31,1
68.19,9895.1,1
142.58,7844.23,1
94.64,586.76,1
169.28,5128.44,1
73.23,1309.85,1
192.73,2037.75,1
72.47,1305.56,1
101.19,14389.45,1
134.55,14852.42,1
36.25,193.06,1
1353.93,7858.41,1
95.83,1726.4,1
22.3,1200.35,1
270.92,4574.43,1
250.01,1541.48,1
75.77,8361.7,1
10.77,10704.95,1
752.69,14489.69,1
202.86,7642.25,1
992.17,6215.96,1
273.92,4543.56,1
321.86,12626.49,1
461.52,1995.18,1
443.79,3133.85,1
203.76,6747.16,1
29.94,10915.54,1
113.54,5581.21,1
126.29,1122.35,1
104.79,1352.19,1
317.94,2996.51,1
23.71,10788.89,1
354.91,3872.55,1
697.82,6824.0,1
12.82,9045.19,1
208.07,8478.9,1
251.18,8303.9,1
183.67,910.26,1
383.95,9933.56,1
40.66,1153.84,1
5.64,12703.24,1
53.81,2564.62,2
18.41,8287.54,1
199.23,9834.0,1
28.78,680.55,1
615.58,14343.0,1
202.34,1223.45,1
760.53,6179.91,1
135.03,1278.0,1
743.24,1024.19,1
667.95,13558.56,1
49.99,2299.64,1
50.26,1519.38,1
271.22,6863.02,1
465.45,3465.54,1
409.61,11698.15,1
1431.54,1171.98,1
460.09,6990.64,3
101.51,3052.47,1
27.64,7498.51,1
525.28,4693.6,1
314.52,7071.32,1
300.47,7885.64,1
121.17,12990.77,1
22.61,1111.67,1
198.01,250.93,1
876.57,3743.63,1
303.97,1590.88,5
630.36,1363.65,1
168.54,13406.0,2
111.08,7037.34,1
1342.25,694.03,1
3.65,10017.11,1
4.24,7822.73,1
1022.75,207.74,1
132.84,822.73,1
61.98,5212.28,1
139.57,271.78,3
729.38,9127.65,1
276.16,1733.34,1
42.42,490.57,1
557.78,1289.48,1
486.08,1748.69,1
266.57,7180.48,1
651.82,1802.77,1
64.58,6292.29,1
257.18,13336.15,1
391.08,6885.16,1
81.08,7788.91,1
73.83,6020.29,1
115.32,5929.08,1
575.62,234.41,1
614.03,2815.86,1
307.24,1670.72,2
146.67,1569.75,1
36.76,1228.93,1
623.9,711.47,1
411.72,8539.86,1
204.63,9199.52,1
0.84,2207.54,1
3.8,5766.96,1
207.71,570.1,1
800.29,693.4,1
1142.83,2467.39,1
122.85,13185.39,3
506.03,1123.89,1
841.5,352.31,1
231.51,5790.7,1
24.19,2756.2,1
48.77,2040.16,1
1176.28,323.69,5
85.73,14928.35,1
101.81,13872.03,1
98.54,9383.43,1
28.38,173.7,1
756.59,420.65,1
325.6,13777.1,1
278.88,1334.09,2
77.44,1950.63,1
642.68,1831.2,1
17.67,1048.18,1
24.34,6659.12,1
145.77,5294.98,1
14.34,7932.51,1
498.59,5862.99,1
24.77,5866.01,1
5.71,1285.42,1
1664.33,1588.31,1
348.7,2445.58,1
12.18,4909.24,1
3.85,10506.41,1
487.32,7707.96,1
50.28,5729.1,1
118.83,1616.3,1
212.74,7645.47,1
332.59,1457.07,1
23.01,5958.75,1
329.75,6009.43,1
141.37,1019.77,1
11.09,2990.05,1
46.75,2840.43,1
24.77,478.23,1
135.94,4710.21,1
79.33,14798.1,1
242.17,883.72,1
105.37,1068.55,1
415.5,10113.66,1
220.23,3438.02,1
659.71,106.86,1
105.94,5963.1,1
372.41,3233.87,1
333.39,10628.59,1
272.97,7811.31,1
248.15,2649.23,1
211.1,7059.77,1
207.82,229.02,1
197.18,3114.92,1
793.88,1404.06,1
611.11,919.84,4
71.87,1839.1,1
13.92,2735.84,1
310.09,9962.5,1
506.28,1309.95,2
430.35,354.9,1
10.92,7567.2,1
246.93,673.35,5
83.6,13899.24,1
100.38,10171.68,1
368.53,13696.31,1
436.8,4515.43,1
84.89,4735.61,1
981.76,602.36,1
774.48,11613.58,1
41.93,5081.26,1
34.02,14214.48,1
6.03,3290.72,1
54.34,8019.89,1
346.12,13084.27,1
282.65,13801.15,1
587.23,500.84,1
56.12,8839.67,1
185.71,2679.91,1
431.31,342.73,1
92.29,2026.32,1
221.49,707.25,1
199.14,7001.25,1
223.43,7932.41,1
484.24,8042.3,1
736.73,3313.07,1
106.16,7487.79,4
137.57,5103.67,1
109.28,6338.35,4
269.79,1292.1,1
881.1,9951.68,1
237.86,475.63,1
742.26,7868.19,1
152.42,9141.79,1
386.52,5630.61,1
810.36,9239.12,1
132.42,726.39,1
150.3,14371.08,1
107.03,1408.07,1
151.37,8356.08,1
214.73,5368.42,1
54.84,3495.51,1
256.3,4203.05,1
354.76,10141.92,1
1087.9,2513.51,1
90.94,3896.08,1
16.8,11847.07,1
207.47,1688.9,1
182.29,522.39,1
26.31,7095.76,1
642.54,3143.17,1
77.25,14077.97,1
319.17,6501.56,1
23.7,7947.44,1
152.01,4625.12,3
65.57,7513.79,1
345.39,6451.96,1
30.48,11481.85,1
577.73,14977.99,1
294.77,2272.17,1
176.52,7132.08,5
69.4,6452.77,1
27.21,3520.61,1
22.63,4438.03,1
7.08,13316.71,1
377.92,2254.71,1
423.53,5453.4,1
117.55,897.94,1
120.86,13566.58,4
346.85,7208.15,1
453.54,12046.3,1
117.97,1475.46,1
54.61,7135.64,1
0.99,4317.85,1
109.48,7372.47,1
189.03,1916.46,1
331.38,844.55,1
508.16,5609.44,1
348.17,1887.84,1
203.34,13586.99,1
135.35,9983.36,1
264.14,8459.26,1
251.4,2561.67,1
175.02,1493.88,1
132.48,9313.05,1
26.92,1674.94,1
918.95,7006.46,1
870.43,10115.18,1
293.97,7371.85,1
363.84,5415.64,3
26.75,12063.77,1
157.7,8332.58,1
138.33,232.56,1
1427.71,1729.26,1
427.79,1479.67,1
24.56,9869.93,1
195.8,12027.68,1
88.4,2567.53,1
241.18,1445.53,1
104.63,4477.78,1
179.0,7310.88,1
451.68,4381.54,1
318.92,1167.25,1
45.92,544.56,1
175.07,9274.64,2
213.76,3528.72,1
213.25,677.79,1
187.88,2154.58,1
199.09,1658.52,1
261.19,7620.6,1
75.04,9648.6,1
201.73,6650.71,1
518.85,1806.0,1
445.79,717.99,1
492.93,5109.97,1
180.65,816.01,5
506.81,2757.23,1
47.42,8253.52,1
677.29,627.79,1
354.96,6712.94,1
77.53,5158.6,1
126.22,6133.41,4
59.12,9823.64,1
395.27,1764.08,1
75.53,1034.35,1
492.84,577.67,1
138.68,206.2,1
386.81,7175.29,1
18.3,3733.52,1
389.7,7125.15,1
436.64,14365.18,1
27.07,3773.29,1
79.43,6579.37,1
889.01,4826.88,1
26.06,12893.63,1
514.95,421.93,5
31.06,11014.25,1
167.47,2293.13,1
163.46,6953.8,1
9.1,2791.45,1
1074.29,2011.6,1
83.02,9009.56,1
27.51,13645.63,1
398.7,7987.74,1
476.63,4894.25,1
369.44,5018.67,1
161.38,3900.34,1
79.14,2229.56,1
395.77,6425.99,1
425.91,383.58,1
48.05,5334.97,1
172.68,10724.95,1
423.96,8374.38,1
588.37,1926.08,1
33.63,4324.4,1
67.33,5925.98,1
615.16,214.61,1
86.35,1550.48,1
35.05,14330.47,1
336.01,9938.2,4
147.4,6797.71,1
436.77,825.69,1
377.04,3812.87,1
491.1,7833.85,1
101.04,1695.57,1
410.4,2563.91,1
285.69,2552.54,1
78.33,7255.33,1
258.21,9562.41,1
662.11,1996.38,1
207.2,8092.94,1
100.66,14473.33,1
56.52,6911.2,1
137.23,13847.99,1
186.55,224.65,1
278.28,1346.88,1
326.29,8171.26,1
20.64,949.38,1
218.59,6699.23,1
319.85,711.66,1
295.93,1050.63,1
60.99,7281.46,1
453.49,6366.43,1
347.25,7273.55,1
25.58,6741.41,1
624.0,4976.18,5
542.75,2224.08,1
567.92,3779.47,1
10.52,2472.99,1
148.54,5677.05,1
168.0,3498.58,1
813.78,14935.5,1
420.6,1778.75,1
66.01,3475.99,1
57.34,1100.64,1
123.35,6852.16,1
720.89,447.06,1
598.81,1415.52,1
103.08,9251.38,1
183.22,1024.42,1
787.41,300.87,1
297.15,5449.37,1
516.72,2015.69,1
156.58,8981.61,1
10.07,530.81,1
108.96,7597.66,1
71.34,6345.03,3
111.26,14350.11,1
605.42,392.34,1
341.88,4159.52,1
6.0,5442.76,1
134.7,8395.85,1
796.3,1498.79,1
173.45,9077.62,1
424.47,5491.55,1
290.86,14631.88,1
12.62,6420.47,1
52.2,8974.93,1
33.61,479.08,1
8.95,3299.84,1
328.39,2523.83,1
154.32,6972.5,1
505.14,2525.47,1
17.78,7599.52,1
282.26,6857.2,1
239.85,1477.63,1
201.53,2732.86,1
710.43,5625.55,1
84.34,5313.97,3
253.47,220.51,1
668.78,983.68,1
166.55,12970.21,1
1036.66,5541.57,1
305.0,944.83,1
138.12,1649.69,1
191.89,399.57,1
243.85,4576.78,1
155.51,5360.19,1
85.58,7794.84,1
166.99,299.93,1
32.34,7847.62,1
74.88,420.67,1
333.67,9238.08,1
483.92,3138.0,1
11.67,7458.63,1
49.84,7872.04,1
434.17,5335.44,5
261.14,6100.08,1
64.9,6854.61,1
158.02,9374.24,1
3.3,11385.37,1
53.14,7915.0,1
242.62,483.02,1
388.98,1819.91,1
427.83,3293.06,1
13.16,1019.46,1
429.25,5019.68,1
268.92,8765.38,1
53.52,2227.49,1
73.88,6474.41,1
93.26,1152.2,1
153.4,4657.7,1
21.15,3466.74,1
112.66,852.98,3
22.46,6631.5,1
378.2,7372.81,1
331.66,7216.3,1
153.07,8873.43,1
622.41,7322.01,1
290.02,4746.71,1
426.93,476.19,1
48.85,1503.56,1
267.48,811.86,2
206.95,1817.65,1
311.28,135.96,1
383.69,8371.11,1
68.49,6683.31,1
353.68,6777.12,1
406.81,1968.36,1
53.79,6229.36,3
245.67,752.25,1
57.91,3641.06,1
227.14,341.94,1
237.74,11795.12,1
167.92,14321.73,2
5.12,3293.01,1
182.79,1251.85,1
139.03,2276.57,1
101.52,2018.9,1
20.54,5327.03,1
137.35,12662.66,1
9.61,12883.91,1
120.67,5374.54,1
263.34,2411.02,1
302.45,5133.61,1
180.94,7659.99,1
430.83,941.49,1
79.77,5010.31,1
447.95,7544.4,1
351.38,7606.63,1
38.41,9129.68,1
245.62,1879.82,1
39.11,518.54,1
30.87,14348.65,1
53.83,4580.59,1
97.98,7460.33,1
491.91,2421.94,1
506.83,9975.79,1
356.56,2485.73,1
330.61,2525.25,1
294.61,7375.59,1
162.65,9500.95,1
1250.94,11565.97,2
421.56,8037.87,1
34.74,3736.57,1
603.54,10517.47,1
1392.54,13347.69,1
118.77,2104.82,1
275.98,6151.05,1
717.36,514.88,1
461.25,676.1,1
452.8,4840.67,1
233.74,4749.54,1
176.11,9155.35,1
67.17,14410.44,1
354.4,7358.65,1
289.05,5683.49,1
231.71,1127.98,1
162.36,7527.04,1
494.52,1620.02,1
16.79,535.15,1
119.18,5516.5,1
75.15,1092.92,1
777.92,7061.58,1
22.59,3988.75,1
643.38,1046.74,1
434.58,12648.32,1
233.1,7469.2,1
881.32,2287.93,1
997.43,6810.05,1
29.34,3944.82,1
1919.11,11090.24,1
14.92,6611.26,1
237.97,13486.15,1
260.31,10980.38,1
234.57,263.98,1
254.37,8849.26,1
40.57,1476.91,1
506.24,230.09,1
72.75,12042.79,1
69.38,12072.11,2
256.95,2531.24,1
101.23,6169.71,1
609.14,9033.87,1
247.58,778.74,1
36.63,7941.73,1
46.22,471.28,1
14.1,6949.21,1
0.45,8670.23,1
1.87,7287.94,1
224.19,8475.47,1
280.57,293.24,1
557.26,5237.12,1
350.46,5839.38,1
179.76,5909.52,1
149.25,5677.52,1
133.07,1670.99,1
125.83,6109.86,1
50.83,9553.42,1
184.5,8569.06,1
36.74,6217.58,1
63.41,1546.22,1
388.07,289.71,1
92.15,781.68,1
302.82,9384.54,1
672.74,5386.52,1
97.09,1579.57,4
52.01,1120.88,1
65.26,7380.63,1
457.09,8570.82,1
173.5,1306.91,1
1531.31,859.86,4
268.7,2104.74,1
388.21,9724.49,1
134.92,1081.97,1
100.68,1123.75,1
256.34,7471.63,1
226.66,10216.25,1
10.31,2137.9,1
746.78,1699.81,1
249.56,4444.95,1
224.79,528.38,1
620.54,213.36,1
167.14,3877.73,1
158.56,5401.21,1
78.93,9916.24,1
98.95,5670.82,1
237.84,8932.39,1
1454.52,1189.03,1
321.15,7005.05,1
73.35,1181.84,1
46.11,5225.73,1
558.86,9844.32,1
25.94,4815.11,5
69.96,164.12,1
35.73,9073.17,1
119.72,3435.34,1
67.07,999.62,1
312.47,9419.27,4
54.1,940.91,1
173.13,1490.34,1
1162.42,10357.26,1
198.92,2854.66,1
389.43,6449.83,1
1079.11,2038.31,1
581.65,480.19,1
114.15,1612.4,1
724.18,10922.78,1
503.76,447.82,1
683.75,6333.72,1
298.42,3014.75,1
389.05,761.0,1
241.21,1220.86,1
145.54,1930.96,1
29.19,12059.85,1
738.94,13856.18,1
113.02,6077.96,1
56.94,7004.63,1
115.22,906.2,1
373.99,8590.5,1
1228.81,1821.0,1
1340.19,8654.28,1
142.19,524.46,4
325.03,13521.76,1
334.07,7306.79,1
505.6,5347.57,1
392.05,4383.69,1
539.35,3919.44,1
83.95,7413.18,1
196.49,7516.56,1
330.91,6481.35,1
283.23,2008.77,1
56.11,11123.65,1
69.43,9281.85,1
11.02,7879.66,1
473.2,248.52,1
873.65,12139.83,1
199.84,706.44,1
218.07,443.62,1
40.79,1769.33,1
184.97,1156.67,1
353.69,9500.79,1
447.83,13273.08,1
90.88,7117.35,1
737.46,634.16,4
502.9,341.24,1
152.18,2459.84,4
110.17,464.2,1
127.78,1046.66,1
36.97,2850.92,1
91.53,14676.05,1
40.32,2686.52,1
35.84,4795.65,1
660.02,414.43,1
1309.79,1258.93,1
316.95,1324.03,1
655.15,5587.44,1
61.43,1882.77,1
105.53,1433.66,1
702.87,1237.5,1
580.71,5670.0,1
171.42,2796.24,1
21.27,7392.79,1
560.15,817.83,1
642.53,11417.91,1
98.53,3564.8,1
11.86,6782.61,1
510.24,781.7,1
319.5,2366.3,1
114.98,6144.68,1
11.18,7467.3,1
590.26,1068.28,1
33.06,1540.87,1
116.86,6706.56,1
199.8,167.28,1
737.1,4644.19,1
33.76,3253.51,1
408.28,1222.77,3
82.67,290.59,1
878.63,4954.37,1
57.16,222.22,1
118.69,749.34,1
26.55,3085.38,1
320.14,3075.97,1
217.5,3057.4,1
159.32,304.44,1
117.25,13694.68,1
13.3,213.0,1
11.02,964.79,1
498.67,1719.97,1
414.49,12709.58,1
769.97,1244.93,1
35.46,5692.31,1
184.51,9381.64,1
218.19,620.83,1
44.54,362.4,1
42.26,268.77,1
568.52,5499.91,1
87.85,3753.24,1
230.66,618.05,1
114.35,469.12,1
125.39,202.69,1
74.67,3449.35,1
255.04,6217.86,1
304.75,1916.34,1
607.28,9679.68,1
626.9,587.11,1
691.92,1084.65,1
376.78,841.65,1
780.59,6513.34,1
36.09,12319.26,1
214.83,991.69,1
3.8,6285.39,1
545.87,4860.01,1
319.27,10269.78,1
1045.22,1829.9,1
241.42,13357.02,1
214.54,11151.53,1
140.98,8127.48,1
384.41,7831.56,1
85.43,14904.9,1
204.56,364.72,1
117.28,3665.77,1
292.03,951.33,1
335.7,6601.44,1
435.08,2103.41,1
256.8,1128.38,1
360.02,6400.59,1
110.93,1952.35,1
336.39,1000.46,1
68.62,13891.47,1
51.07,4292.16,1
208.04,9344.98,1
183.71,552.52,1
211.36,4760.34,1
431.08,6760.22,1
236.81,813.68,1
65.09,9370.9,1
428.61,2116.36,1
680.76,572.97,1
267.17,1382.62,1
